
Predictions were generated on 17-Jan-2026 at 06:32:31 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.5.1
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)
    0.5125	  1.267011166E+000	 -1.666736752E-001	  0.000000000E+000	  0.000000000E+000	  5.996250153E+001	  1.950000000E+001	  1.891500000E+003	 -1.788584329E-002	  3.093095729E-003	  0.000000000E+000	 -5.742485809E+001	  6.126333008E+002	  8.738723755E+001	 -3.425875425E+000	  1.618881470E+003	  6.874775696E+001	  2.748432861E+003	  4.036198139E+000	  1.881878815E+002	 -4.039016724E+001	 -1.831794930E+001	 -2.049381256E+001	  8.025858879E+000	 -6.255008221E+000	  1.683982239E+002	 -5.106727600E+001	 -5.733158493E+001	 -4.312506866E+001	  1.017870140E+001	 -6.266744614E+000	 -6.689925537E+002	 -3.269045898E+003	 -5.733478546E+001
    0.5188	  1.273680568E+000	 -1.680088788E-001	  0.000000000E+000	  0.000000000E+000	  6.069374084E+001	  1.950000000E+001	  1.891500000E+003	 -1.795759425E-002	  3.118683817E-003	  0.000000000E+000	 -5.509646225E+001	  6.158286133E+002	  8.841091919E+001	 -3.783563375E+000	  1.618794434E+003	  8.088149261E+001	  2.778562744E+003	  3.988108635E+000	  2.235798950E+002	 -4.066305542E+001	 -1.664262009E+001	 -2.014852333E+001	  8.681952477E+000	 -6.588575363E+000	  2.024641724E+002	 -5.169704056E+001	 -5.956475067E+001	 -4.359369278E+001	  1.101652241E+001	 -6.600497723E+000	 -7.037406616E+002	 -3.290601074E+003	 -5.956927872E+001
    0.5250	  1.279423714E+000	 -1.692793071E-001	  0.000000000E+000	  0.000000000E+000	  6.142498016E+001	  1.950000000E+001	  1.891500000E+003	 -1.801972277E-002	  3.143320791E-003	  0.000000000E+000	 -5.258063507E+001	  6.185746460E+002	  8.946944427E+001	 -4.162707329E+000	  1.618700684E+003	  9.372984314E+001	  2.809035889E+003	  3.929973841E+000	  2.611071167E+002	 -4.088544846E+001	 -1.493735981E+001	 -1.977331734E+001	  9.373782158E+000	 -6.932806015E+000	  2.385919800E+002	 -5.229280853E+001	 -6.194259644E+001	 -4.405322266E+001	  1.189992714E+001	 -6.944902897E+000	 -7.401721191E+002	 -3.310808838E+003	 -6.194880676E+001
    0.5312	  1.284254909E+000	 -1.704829782E-001	  0.000000000E+000	  0.000000000E+000	  6.215624619E+001	  1.950000000E+001	  1.891500000E+003	 -1.807188801E-002	  3.166928422E-003	  0.000000000E+000	 -4.989069748E+001	  6.208782959E+002	  9.055786896E+001	 -4.561580658E+000	  1.618599487E+003	  1.072339020E+002	  2.839732910E+003	  3.862700701E+000	  3.005939331E+002	 -4.106893158E+001	 -1.319480896E+001	 -1.936942482E+001	  1.009832096E+001	 -7.287061214E+000	  2.766111450E+002	 -5.287073135E+001	 -6.446294403E+001	 -4.450107193E+001	  1.282467365E+001	 -7.299319267E+000	 -7.781160889E+002	 -3.329556885E+003	 -6.447066498E+001
    0.5375	  1.288190722E+000	 -1.716178954E-001	  0.000000000E+000	  0.000000000E+000	  6.288748932E+001	  1.950000000E+001	  1.891500000E+003	 -1.811374165E-002	  3.189425450E-003	  0.000000000E+000	 -4.704182816E+001	  6.227470703E+002	  9.167092133E+001	 -4.977846622E+000	  1.618490723E+003	  1.213202515E+002	  2.870526367E+003	  3.786016703E+000	  3.418429565E+002	 -4.121920776E+001	 -1.141259766E+001	 -1.893836975E+001	  1.085192108E+001	 -7.648915291E+000	  3.163318176E+002	 -5.343695450E+001	 -6.711265564E+001	 -4.493468475E+001	  1.378627682E+001	 -7.661318302E+000	 -8.173906250E+002	 -3.346725586E+003	 -6.712215424E+001
    0.5438	  1.291250348E+000	 -1.726821065E-001	  0.000000000E+000	  0.000000000E+000	  6.361875534E+001	  1.950000000E+001	  1.891500000E+003	 -1.814492792E-002	  3.210727358E-003	  0.000000000E+000	 -4.405108261E+001	  6.241902466E+002	  9.280305481E+001	 -5.409727097E+000	  1.618373413E+003	  1.359143677E+002	  2.901283447E+003	  3.701522350E+000	  3.846362915E+002	 -4.134613037E+001	 -9.584012032E+000	 -1.848161888E+001	  1.163073254E+001	 -8.017266273E+000	  3.575433655E+002	 -5.400631714E+001	 -6.988512421E+001	 -4.535120392E+001	  1.477960682E+001	 -8.029798508E+000	 -8.577898560E+002	 -3.362187500E+003	 -6.989611816E+001
    0.5500	  1.293455005E+000	 -1.736736298E-001	  0.000000000E+000	  0.000000000E+000	  6.434999847E+001	  1.950000000E+001	  1.891500000E+003	 -1.816509292E-002	  3.230746835E-003	  0.000000000E+000	 -4.093479538E+001	  6.252180786E+002	  9.394834900E+001	 -5.854432106E+000	  1.618248047E+003	  1.509371796E+002	  2.931862061E+003	  3.608519316E+000	  4.287453918E+002	 -4.145695496E+001	 -7.706551075E+000	 -1.800100899E+001	  1.243059349E+001	 -8.389519691E+000	  4.000253296E+002	 -5.458470917E+001	 -7.276725769E+001	 -4.574785233E+001	  1.579943085E+001	 -8.402162552E+000	 -8.991020508E+002	 -3.375819824E+003	 -7.278031158E+001
    0.5563	  1.294828296E+000	 -1.745905131E-001	  0.000000000E+000	  0.000000000E+000	  6.508123779E+001	  1.950000000E+001	  1.891500000E+003	 -1.817387342E-002	  3.249394707E-003	  0.000000000E+000	 -3.771288300E+001	  6.258411255E+002	  9.510066223E+001	 -6.309653282E+000	  1.618114136E+003	  1.663021698E+002	  2.962118164E+003	  3.509110928E+000	  4.739265747E+002	 -4.155942917E+001	 -5.772526741E+000	 -1.749828911E+001	  1.324712467E+001	 -8.764211655E+000	  4.435427856E+002	 -5.518597031E+001	 -7.574687958E+001	 -4.612163162E+001	  1.684012032E+001	 -8.776945114E+000	 -9.411008911E+002	 -3.387490967E+003	 -7.576149750E+001
    0.5625	  1.295395494E+000	 -1.754308492E-001	  0.000000000E+000	  0.000000000E+000	  6.581250000E+001	  1.950000000E+001	  1.891500000E+003	 -1.817091182E-002	  3.266579937E-003	  0.000000000E+000	 -3.440417480E+001	  6.260716553E+002	  9.625369263E+001	 -6.772898674E+000	  1.617971802E+003	  1.819208832E+002	  2.991901367E+003	  3.403207302E+000	  5.199266357E+002	 -4.166007233E+001	 -3.778406143E+000	 -1.697541046E+001	  1.407576275E+001	 -9.139282227E+000	  4.878515320E+002	 -5.581887054E+001	 -7.881021118E+001	 -4.646951675E+001	  1.789585686E+001	 -9.152085304E+000	 -9.835525513E+002	 -3.397066406E+003	 -7.882691956E+001
    0.5687	  1.295183778E+000	 -1.761927456E-001	  0.000000000E+000	  0.000000000E+000	  6.654373932E+001	  1.950000000E+001	  1.891500000E+003	 -1.815585233E-002	  3.282209858E-003	  0.000000000E+000	 -3.102892685E+001	  6.259222412E+002	  9.740081024E+001	 -7.241096020E+000	  1.617820312E+003	  1.977014771E+002	  3.021057617E+003	  3.292065620E+000	  5.664779053E+002	 -4.176797485E+001	 -1.719705582E+000	 -1.643445206E+001	  1.491177750E+001	 -9.511942863E+000	  5.326927490E+002	 -5.649101639E+001	 -8.194786835E+001	 -4.678852081E+001	  1.896038055E+001	 -9.524790764E+000	 -1.026206421E+003	 -3.404417969E+003	 -8.196663666E+001
    0.5750	  1.294221759E+000	 -1.768743992E-001	  0.000000000E+000	  0.000000000E+000	  6.727498627E+001	  1.950000000E+001	  1.891500000E+003	 -1.812834106E-002	  3.296191804E-003	  0.000000000E+000	 -2.760939598E+001	  6.254063110E+002	  9.853549194E+001	 -7.711739063E+000	  1.617660889E+003	  2.135483246E+002	  3.049432861E+003	  3.176621914E+000	  6.133090210E+002	 -4.188645172E+001	  4.093980789E-001	 -1.587746143E+001	  1.575018883E+001	 -9.880779266E+000	  5.778055420E+002	 -5.721408463E+001	 -8.513935089E+001	 -4.707549667E+001	  2.002758026E+001	 -9.893647194E+000	 -1.068815430E+003	 -3.409411377E+003	 -8.515991974E+001
    0.5813	  1.292539120E+000	 -1.774740517E-001	  0.000000000E+000	  0.000000000E+000	  6.800624847E+001	  1.950000000E+001	  1.891500000E+003	 -1.808803529E-002	  3.308432875E-003	  0.000000000E+000	 -2.416682816E+001	  6.245379028E+002	  9.965096283E+001	 -8.181764603E+000	  1.617492432E+003	  2.293636780E+002	  3.076869629E+003	  3.057493925E+000	  6.601351929E+002	 -4.202319336E+001	  2.612177372E+000	 -1.530663872E+001	  1.658598328E+001	 -1.024300003E+001	  6.229146118E+002	 -5.799364471E+001	 -8.837416840E+001	 -4.732740021E+001	  2.109081268E+001	 -1.025586033E+001	 -1.111115234E+003	 -3.411912842E+003	 -8.839654541E+001
    0.5875	  1.290166736E+000	 -1.779899895E-001	  0.000000000E+000	  0.000000000E+000	  6.873748779E+001	  1.950000000E+001	  1.891500000E+003	 -1.803459600E-002	  3.318840638E-003	  0.000000000E+000	 -2.072240639E+001	  6.233314819E+002	  1.007404709E+002	 -8.648242950E+000	  1.617315796E+003	  2.450498810E+002	  3.103210938E+003	  2.935868263E+000	  7.066763916E+002	 -4.218323135E+001	  4.892486572E+000	 -1.472418308E+001	  1.741408920E+001	 -1.059683323E+001	  6.677500000E+002	 -5.883857346E+001	 -9.163520050E+001	 -4.754116058E+001	  2.214369392E+001	 -1.060965729E+001	 -1.152848389E+003	 -3.411797607E+003	 -9.165961456E+001
    0.5938	  1.287136436E+000	 -1.784206331E-001	  0.000000000E+000	  0.000000000E+000	  6.946872711E+001	  1.950000000E+001	  1.891500000E+003	 -1.796769910E-002	  3.327323589E-003	  0.000000000E+000	 -1.729894829E+001	  6.218020020E+002	  1.017972870E+002	 -9.108446121E+000	  1.617131104E+003	  2.605086365E+002	  3.128300781E+003	  2.812642813E+000	  7.526478271E+002	 -4.236951447E+001	  7.255495548E+000	 -1.413235760E+001	  1.822937012E+001	 -1.093978691E+001	  7.120373535E+002	 -5.975588226E+001	 -9.490447235E+001	 -4.771378326E+001	  2.317971992E+001	 -1.095254421E+001	 -1.193754761E+003	 -3.408932129E+003	 -9.493057251E+001
    0.6000	  1.283480525E+000	 -1.787644774E-001	  0.000000000E+000	  0.000000000E+000	  7.019999695E+001	  1.950000000E+001	  1.891500000E+003	 -1.788702980E-002	  3.333792323E-003	  0.000000000E+000	 -1.391897392E+001	  6.199647217E+002	  1.028147354E+002	 -9.559173584E+000	  1.616939087E+003	  2.756388855E+002	  3.151986084E+003	  2.688873768E+000	  7.977548218E+002	 -4.258749390E+001	  9.703247070E+000	 -1.353343582E+001	  1.902660561E+001	 -1.126966763E+001	  7.554923706E+002	 -6.075065994E+001	 -9.816764832E+001	 -4.784225082E+001	  2.419209671E+001	 -1.128232574E+001	 -1.233563599E+003	 -3.403193604E+003	 -9.819554901E+001
    0.6063	  1.279231787E+000	 -1.790201217E-001	  0.000000000E+000	  0.000000000E+000	  7.093123627E+001	  1.950000000E+001	  1.891500000E+003	 -1.779229380E-002	  3.338159528E-003	  0.000000000E+000	 -1.060360909E+001	  6.178347168E+002	  1.037862320E+002	 -9.997806549E+000	  1.616739990E+003	  2.903451843E+002	  3.174114990E+003	  2.565799952E+000	  8.417192993E+002	 -4.283919525E+001	  1.223817158E+001	 -1.292969322E+001	  1.980075836E+001	 -1.158408928E+001	  7.978469849E+002	 -6.182703400E+001	 -1.014073639E+002	 -4.792374802E+001	  2.517449951E+001	 -1.159661674E+001	 -1.272020386E+003	 -3.394465820E+003	 -1.014368515E+002
    0.6125	  1.274423003E+000	 -1.791862696E-001	  0.000000000E+000	  0.000000000E+000	  7.166250610E+001	  1.950000000E+001	  1.891500000E+003	 -1.768320613E-002	  3.340340219E-003	  0.000000000E+000	 -7.376067638E+000	  6.154279175E+002	  1.047053604E+002	 -1.042090607E+001	  1.616533936E+003	  3.045266113E+002	  3.194541748E+003	  2.444163799E+000	  8.842540283E+002	 -4.312609482E+001	  1.486228561E+001	 -1.232342625E+001	  2.054671669E+001	 -1.188072109E+001	  8.388242798E+002	 -6.298811722E+001	 -1.046057892E+002	 -4.795549393E+001	  2.612034416E+001	 -1.189308167E+001	 -1.308862915E+003	 -3.382633789E+003	 -1.046369019E+002
    0.6188	  1.269086957E+000	 -1.792617589E-001	  0.000000000E+000	  0.000000000E+000	  7.239374542E+001	  1.950000000E+001	  1.891500000E+003	 -1.755950786E-002	  3.340253374E-003	  0.000000000E+000	 -4.255996704E+000	  6.127593384E+002	  1.055658798E+002	 -1.082614136E+001	  1.616321899E+003	  3.180939331E+002	  3.213123047E+003	  2.324903011E+000	  9.250886841E+002	 -4.345203018E+001	  1.757745934E+001	 -1.171682453E+001	  2.125958443E+001	 -1.215799999E+001	  8.781638184E+002	 -6.423892212E+001	 -1.077472000E+002	 -4.793481064E+001	  2.702348900E+001	 -1.217015743E+001	 -1.343845093E+003	 -3.367588867E+003	 -1.077797241E+002
    0.6250	  1.263256431E+000	 -1.792455912E-001	  0.000000000E+000	  0.000000000E+000	  7.312498474E+001	  1.950000000E+001	  1.891500000E+003	 -1.742096245E-002	  3.337821923E-003	  0.000000000E+000	 -1.265119314E+000	  6.098447266E+002	  1.063618317E+002	 -1.121056652E+001	  1.616104858E+003	  3.309518433E+002	  3.229724609E+003	  2.209124804E+000	  9.639518433E+002	 -4.381536865E+001	  2.038458061E+001	 -1.111211777E+001	  2.193452072E+001	 -1.241348553E+001	  9.156040649E+002	 -6.558026123E+001	 -1.108127213E+002	 -4.785924911E+001	  2.787774277E+001	 -1.242540359E+001	 -1.376719727E+003	 -3.349226807E+003	 -1.108465347E+002
    0.6313	  1.256963372E+000	 -1.791368723E-001	  0.000000000E+000	  0.000000000E+000	  7.385625458E+001	  1.950000000E+001	  1.891500000E+003	 -1.726734824E-002	  3.332972759E-003	  0.000000000E+000	  1.576285601E+000	  6.066990356E+002	  1.070875244E+002	 -1.157177734E+001	  1.615883545E+003	  3.430115356E+002	  3.244218018E+003	  2.097664356E+000	  1.000577759E+003	 -4.421581268E+001	  2.328327560E+001	 -1.051142120E+001	  2.256669998E+001	 -1.264569187E+001	  9.508894653E+002	 -6.701355743E+001	 -1.137833557E+002	 -4.772636032E+001	  2.867713547E+001	 -1.265733433E+001	 -1.407248169E+003	 -3.327453613E+003	 -1.138184052E+002
    0.6375	  1.250239253E+000	 -1.789348871E-001	  0.000000000E+000	  0.000000000E+000	  7.458749390E+001	  1.950000000E+001	  1.891500000E+003	 -1.709847897E-002	  3.325638128E-003	  0.000000000E+000	  4.250665188E+000	  6.033368530E+002	  1.077374878E+002	 -1.190685749E+001	  1.615658203E+003	  3.541930542E+002	  3.256481445E+003	  1.991419077E+000	  1.034734741E+003	 -4.465438843E+001	  2.627180099E+001	 -9.916896820E+000	  2.315210724E+001	 -1.285134506E+001	  9.837955933E+002	 -6.853396606E+001	 -1.166495590E+002	 -4.753413010E+001	  2.941623497E+001	 -1.286267185E+001	 -1.435214722E+003	 -3.302187988E+003	 -1.166854401E+002
    0.6438	  1.243114710E+000	 -1.786390692E-001	  0.000000000E+000	  0.000000000E+000	  7.531873322E+001	  1.950000000E+001	  1.891500000E+003	 -1.691418700E-002	  3.315755865E-003	  0.000000000E+000	  6.738072395E+000	  5.997730103E+002	  1.083067780E+002	 -1.221359539E+001	  1.615430298E+003	  3.644115295E+002	  3.266404785E+003	  1.891050220E+000	  1.066173950E+003	 -4.512797546E+001	  2.935038757E+001	 -9.330430031E+000	  2.368623924E+001	 -1.303020000E+001	  1.014083313E+003	 -7.014580536E+001	 -1.193907166E+002	 -4.728040695E+001	  3.008945084E+001	 -1.304117489E+001	 -1.460396851E+003	 -3.273349609E+003	 -1.194274597E+002
    0.6500	  1.235619426E+000	 -1.782490313E-001	  0.000000000E+000	  0.000000000E+000	  7.605000305E+001	  1.950000000E+001	  1.891500000E+003	 -1.671433821E-002	  3.303269157E-003	  0.000000000E+000	  9.022999763E+000	  5.960212402E+002	  1.087907104E+002	 -1.248983002E+001	  1.615200439E+003	  3.735974731E+002	  3.273883789E+003	  1.797328591E+000	  1.094684448E+003	 -4.563383484E+001	  3.251657867E+001	 -8.753940582E+000	  2.416519737E+001	 -1.318036079E+001	  1.041550415E+003	 -7.184541321E+001	 -1.219876785E+002	 -4.696350861E+001	  3.069214058E+001	 -1.319094372E+001	 -1.482608765E+003	 -3.240872070E+003	 -1.220252686E+002
    0.6562	  1.227781534E+000	 -1.777645350E-001	  0.000000000E+000	  0.000000000E+000	  7.678124237E+001	  1.950000000E+001	  1.891500000E+003	 -1.649882831E-002	  3.288127948E-003	  0.000000000E+000	  1.108971596E+001	  5.920950928E+002	  1.091850586E+002	 -1.273330307E+001	  1.614969604E+003	  3.816803894E+002	  3.278828369E+003	  1.711098075E+000	  1.120061401E+003	 -4.616919708E+001	  3.576588821E+001	 -8.189243317E+000	  2.458543205E+001	 -1.330008030E+001	  1.065998779E+003	 -7.362701416E+001	 -1.244292297E+002	 -4.658188629E+001	  3.121954918E+001	 -1.331023598E+001	 -1.501661255E+003	 -3.204697754E+003	 -1.244669266E+002
    0.6625	  1.219628096E+000	 -1.771855503E-001	  0.000000000E+000	  0.000000000E+000	  7.751248169E+001	  1.950000000E+001	  1.891500000E+003	 -1.626757905E-002	  3.270288929E-003	  0.000000000E+000	  1.292354774E+001	  5.880073242E+002	  1.094860840E+002	 -1.294225216E+001	  1.614738281E+003	  3.885977173E+002	  3.281157471E+003	  1.632720709E+000	  1.142113281E+003	 -4.672972870E+001	  3.909465408E+001	 -7.637992859E+000	  2.494352531E+001	 -1.338778019E+001	  1.087244263E+003	 -7.548627472E+001	 -1.266995773E+002	 -4.613422012E+001	  3.166733932E+001	 -1.339746857E+001	 -1.517383545E+003	 -3.164782471E+003	 -1.267378616E+002
    0.6688	  1.211184740E+000	 -1.765122414E-001	  0.000000000E+000	  0.000000000E+000	  7.824374390E+001	  1.950000000E+001	  1.891500000E+003	 -1.602055319E-002	  3.249715548E-003	  0.000000000E+000	  1.451333046E+001	  5.837699585E+002	  1.096904831E+002	 -1.311492729E+001	  1.614508667E+003	  3.942988281E+002	  3.280800293E+003	  1.562716842E+000	  1.160687378E+003	 -4.731075287E+001	  4.249872208E+001	 -7.101719379E+000	  2.523666573E+001	 -1.344251347E+001	  1.105140259E+003	 -7.741785431E+001	 -1.287832947E+002	 -4.561942673E+001	  3.203217697E+001	 -1.345169830E+001	 -1.529640869E+003	 -3.121092041E+003	 -1.288215332E+002
    0.6750	  1.202475309E+000	 -1.757449210E-001	  0.000000000E+000	  0.000000000E+000	  7.897498322E+001	  1.950000000E+001	  1.891500000E+003	 -1.575773954E-002	  3.226378933E-003	  0.000000000E+000	  1.584643936E+001	  5.793945923E+002	  1.097954941E+002	 -1.324992752E+001	  1.614280518E+003	  3.987297058E+002	  3.277701416E+003	  1.501664877E+000	  1.175623413E+003	 -4.790697479E+001	  4.597184753E+001	 -6.581827641E+000	  2.546204185E+001	 -1.346341038E+001	  1.119532471E+003	 -7.941641235E+001	 -1.306676636E+002	 -4.503670883E+001	  3.231041718E+001	 -1.347205830E+001	 -1.538291870E+003	 -3.073599609E+003	 -1.307057037E+002
    0.6813	  1.193521857E+000	 -1.748841405E-001	  0.000000000E+000	  0.000000000E+000	  7.970625305E+001	  1.950000000E+001	  1.891500000E+003	 -1.547916606E-002	  3.200257663E-003	  0.000000000E+000	  1.691462326E+001	  5.748915405E+002	  1.097988510E+002	 -1.334596539E+001	  1.614055664E+003	  4.018539734E+002	  3.271815674E+003	  1.449578524E+000	  1.186807251E+003	 -4.851176834E+001	  4.950809860E+001	 -6.079532146E+000	  2.561755943E+001	 -1.344950676E+001	  1.130311768E+003	 -8.147312164E+001	 -1.323379059E+002	 -4.438548660E+001	  3.249956512E+001	 -1.345758438E+001	 -1.543235596E+003	 -3.022297607E+003	 -1.323759766E+002
    0.6875	  1.184344769E+000	 -1.739306152E-001	  0.000000000E+000	  0.000000000E+000	  8.043749237E+001	  1.950000000E+001	  1.891500000E+003	 -1.518489420E-002	  3.171338234E-003	  0.000000000E+000	  1.771013069E+001	  5.702706909E+002	  1.096987991E+002	 -1.340190315E+001	  1.613833984E+003	  4.036377563E+002	  3.263111328E+003	  1.406828403E+000	  1.194130859E+003	 -4.912068939E+001	  5.309924698E+001	 -5.595917702E+000	  2.570141411E+001	 -1.340027428E+001	  1.137373413E+003	 -8.358018494E+001	 -1.337877655E+002	 -4.366549301E+001	  3.259712982E+001	 -1.340775013E+001	 -1.544375854E+003	 -2.967183105E+003	 -1.338252258E+002
    0.6938	  1.174962521E+000	 -1.728852689E-001	  0.000000000E+000	  0.000000000E+000	  8.116873169E+001	  1.950000000E+001	  1.891500000E+003	 -1.487502176E-002	  3.139615292E-003	  0.000000000E+000	  1.822670937E+001	  5.655407104E+002	  1.094942245E+002	 -1.341697311E+001	  1.613617554E+003	  4.040548096E+002	  3.251570312E+003	  1.373570204E+000	  1.197514404E+003	 -4.972443771E+001	  5.673786163E+001	 -5.131935596E+000	  2.571207619E+001	 -1.331537819E+001	  1.140642212E+003	 -8.572873688E+001	 -1.350004883E+002	 -4.287669754E+001	  3.260147858E+001	 -1.332221699E+001	 -1.541648315E+003	 -2.908270996E+003	 -1.350375824E+002
    0.7000	  1.165391326E+000	 -1.717492342E-001	  0.000000000E+000	  0.000000000E+000	  8.190000153E+001	  1.950000000E+001	  1.891500000E+003	 -1.454968378E-002	  3.105091164E-003	  0.000000000E+000	  1.846071053E+001	  5.607096558E+002	  1.091844711E+002	 -1.339066029E+001	  1.613406250E+003	  4.030903320E+002	  3.237186768E+003	  1.349590898E+000	  1.196904663E+003	 -5.031709290E+001	  6.041498566E+001	 -4.688297272E+000	  2.564864922E+001	 -1.319429111E+001	  1.140066406E+003	 -8.790859222E+001	 -1.359700775E+002	 -4.201939774E+001	  3.251142883E+001	 -1.320047188E+001	 -1.535006836E+003	 -2.845585205E+003	 -1.360061951E+002
    0.7063	  1.155645728E+000	 -1.705238074E-001	  0.000000000E+000	  0.000000000E+000	  8.263124084E+001	  1.950000000E+001	  1.891500000E+003	 -1.420904882E-002	  3.067777259E-003	  0.000000000E+000	  1.841055489E+001	  5.557845459E+002	  1.087695236E+002	 -1.332271767E+001	  1.613201904E+003	  4.007362976E+002	  3.219969971E+003	  1.335036159E+000	  1.192267700E+003	 -5.089072418E+001	  6.412127686E+001	 -4.265626431E+000	  2.551056862E+001	 -1.303717995E+001	  1.135614380E+003	 -9.011032867E+001	 -1.366875458E+002	 -4.109409714E+001	  3.232627487E+001	 -1.304267502E+001	 -1.524426880E+003	 -2.779165039E+003	 -1.367226105E+002
    0.7125	  1.145738006E+000	 -1.692105085E-001	  0.000000000E+000	  0.000000000E+000	  8.336248016E+001	  1.950000000E+001	  1.891500000E+003	 -1.385332458E-002	  3.027692903E-003	  0.000000000E+000	  1.807518959E+001	  5.507713623E+002	  1.082499161E+002	 -1.321292400E+001	  1.613004639E+003	  3.969909973E+002	  3.199942383E+003	  1.329645157E+000	  1.183591675E+003	 -5.143575287E+001	  6.784709930E+001	 -3.864289522E+000	  2.529756355E+001	 -1.284391689E+001	  1.127275391E+003	 -9.232168579E+001	 -1.371417389E+002	 -4.010162354E+001	  3.204592133E+001	 -1.284870625E+001	 -1.509905029E+003	 -2.709056641E+003	 -1.371757660E+002
    0.7188	  1.135678530E+000	 -1.678110659E-001	  0.000000000E+000	  0.000000000E+000	  8.409375000E+001	  1.950000000E+001	  1.891500000E+003	 -1.348275412E-002	  2.984865103E-003	  0.000000000E+000	  1.745684814E+001	  5.456751709E+002	  1.076266937E+002	 -1.306151772E+001	  1.612814941E+003	  3.918644104E+002	  3.177138672E+003	  1.333179712E+000	  1.170898682E+003	 -5.194606018E+001	  7.158150482E+001	 -3.484469652E+000	  2.501017189E+001	 -1.261566067E+001	  1.115070435E+003	 -9.453490448E+001	 -1.373321838E+002	 -3.904299164E+001	  3.167082977E+001	 -1.261972427E+001	 -1.491462769E+003	 -2.635325439E+003	 -1.373650208E+002
    0.7250	  1.125475407E+000	 -1.663273424E-001	  0.000000000E+000	  0.000000000E+000	  8.482498932E+001	  1.950000000E+001	  1.891500000E+003	 -1.309761778E-002	  2.939329948E-003	  0.000000000E+000	  1.655848122E+001	  5.405001221E+002	  1.069015884E+002	 -1.286900330E+001	  1.612634766E+003	  3.853706970E+002	  3.151608398E+003	  1.345233679E+000	  1.154220947E+003	 -5.241029739E+001	  7.531231689E+001	 -3.126293898E+000	  2.464888000E+001	 -1.235167217E+001	  1.099032837E+003	 -9.673310852E+001	 -1.372468719E+002	 -3.791967773E+001	  3.120199203E+001	 -1.235499668E+001	 -1.469141479E+003	 -2.558049316E+003	 -1.372783813E+002
    0.7313	  1.115134835E+000	 -1.647614539E-001	  0.000000000E+000	  0.000000000E+000	  8.555625916E+001	  1.950000000E+001	  1.891500000E+003	 -1.269822754E-002	  2.891131444E-003	  0.000000000E+000	  1.538543987E+001	  5.352494507E+002	  1.060767288E+002	 -1.263599682E+001	  1.612463501E+003	  3.775364685E+002	  3.123412598E+003	  1.365431905E+000	  1.133621826E+003	 -5.282254791E+001	  7.902941895E+001	 -2.789568186E+000	  2.421490669E+001	 -1.205374718E+001	  1.079223022E+003	 -9.890870667E+001	 -1.368863678E+002	 -3.673322678E+001	  3.064086533E+001	 -1.205631924E+001	 -1.443001831E+003	 -2.477309082E+003	 -1.369162903E+002
    0.7375	  1.104660869E+000	 -1.631156355E-001	  0.000000000E+000	  0.000000000E+000	  8.628749847E+001	  1.950000000E+001	  1.891500000E+003	 -1.228493452E-002	  2.840321278E-003	  0.000000000E+000	  1.394511032E+001	  5.299254150E+002	  1.051548996E+002	 -1.236343956E+001	  1.612302368E+003	  3.683944397E+002	  3.092626953E+003	  1.393248200E+000	  1.109191162E+003	 -5.317299271E+001	  8.272013855E+001	 -2.473964691E+000	  2.370990562E+001	 -1.172249222E+001	  1.055728394E+003	 -1.010488739E+002	 -1.362468262E+002	 -3.548546982E+001	  2.998959923E+001	 -1.172430611E+001	 -1.413132324E+003	 -2.393204590E+003	 -1.362752533E+002
    0.7438	  1.094056010E+000	 -1.613923460E-001	  0.000000000E+000	  0.000000000E+000	  8.701873779E+001	  1.950000000E+001	  1.891500000E+003	 -1.185812149E-002	  2.786959056E-003	  0.000000000E+000	  1.224568367E+001	  5.245294800E+002	  1.041393509E+002	 -1.205245686E+001	  1.612151489E+003	  3.579835510E+002	  3.059338135E+003	  1.428105950E+000	  1.081032959E+003	 -5.345273590E+001	  8.637156677E+001	 -2.179050207E+000	  2.313580513E+001	 -1.135858059E+001	  1.028650146E+003	 -1.031392517E+002	 -1.353276215E+002	 -3.417862701E+001	  2.925065994E+001	 -1.135963249E+001	 -1.379634277E+003	 -2.305843750E+003	 -1.353541870E+002
