! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! DU30 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
! Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
"DEFAULT"     InterpOrd         ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
          1   NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
        400   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! DU 97-W-300.lm
! x/c      y/c
0.15526  -0.13797
0.16052  -0.14014
0.16587  -0.14225
0.17131  -0.14432
0.17684  -0.14633
0.18245  -0.14828
0.18816  -0.15017
0.19395  -0.15198
0.19982  -0.15371
0.20579  -0.15537
0.21184  -0.15693
0.21798  -0.15840
0.22421  -0.15976
0.23053  -0.16101
0.23693  -0.16214
0.24342  -0.16314
0.25000  -0.16399
0.25667  -0.16470
0.26333  -0.16526
0.27000  -0.16567
0.27667  -0.16592
0.28333  -0.16602
0.29000  -0.16598
0.29667  -0.16580
0.30333  -0.16548
0.31000  -0.16503
0.31667  -0.16445
0.32333  -0.16374
0.33000  -0.16291
0.33667  -0.16198
0.34333  -0.16094
0.35000  -0.15980
0.35667  -0.15855
0.36333  -0.15722
0.37000  -0.15580
0.37667  -0.15429
0.38333  -0.15270
0.39000  -0.15104
0.39667  -0.14931
0.40333  -0.14752
0.41000  -0.14566
0.41667  -0.14374
0.42333  -0.14178
0.43000  -0.13977
0.43667  -0.13772
0.44333  -0.13562
0.45000  -0.13348
0.45667  -0.13130
0.46333  -0.12908
0.47000  -0.12683
0.47667  -0.12456
0.48333  -0.12225
0.49000  -0.11992
0.49667  -0.11757
0.50333  -0.11520
0.51000  -0.11281
0.51667  -0.11040
0.52333  -0.10799
0.53000  -0.10555
0.53667  -0.10310
0.54333  -0.10065
0.55000  -0.09818
0.55667  -0.09570
0.56333  -0.09321
0.57000  -0.09071
0.57667  -0.08821
0.58333  -0.08571
0.59000  -0.08320
0.59667  -0.08070
0.60333  -0.07819
0.61000  -0.07569
0.61667  -0.07319
0.62333  -0.07070
0.63000  -0.06820
0.63667  -0.06572
0.64333  -0.06325
0.65000  -0.06079
0.65667  -0.05834
0.66333  -0.05590
0.67000  -0.05347
0.67667  -0.05106
0.68333  -0.04867
0.69000  -0.04629
0.69667  -0.04394
0.70333  -0.04161
0.71000  -0.03931
0.71667  -0.03703
0.72333  -0.03478
0.73000  -0.03256
0.73667  -0.03037
0.74333  -0.02822
0.75000  -0.02610
0.75660  -0.02405
0.76314  -0.02205
0.76961  -0.02013
0.77601  -0.01827
0.78235  -0.01647
0.78863  -0.01474
0.79484  -0.01309
0.80098  -0.01150
0.80706  -0.00998
0.81307  -0.00854
0.81902  -0.00717
0.82490  -0.00586
0.83072  -0.00462
0.83647  -0.00346
0.84216  -0.00236
0.84778  -0.00133
0.85333  -0.00037
0.85882   0.00052
0.86425   0.00134
0.86961   0.00210
0.87490   0.00278
0.88013   0.00340
0.88529   0.00395
0.89039   0.00444
0.89542   0.00487
0.90039   0.00524
0.90529   0.00555
0.91013   0.00580
0.91490   0.00600
0.91961   0.00614
0.92425   0.00622
0.92882   0.00625
0.93333   0.00623
0.93778   0.00615
0.94216   0.00602
0.94647   0.00583
0.95072   0.00558
0.95490   0.00528
0.95902   0.00493
0.96307   0.00452
0.96706   0.00405
0.97098   0.00352
0.97484   0.00294
0.97863   0.00231
0.98235   0.00163
0.98601   0.00090
0.98961   0.00012
0.99314  -0.00071
0.99660  -0.00158
1.00000  -0.00246
"00_FileNotFound"   BL_File         - The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
          1   NumTabs           ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table 1
! ------------------------------------------------------------------------------
       0.75   Re                ! Reynolds number in millions
          0   UserProp          ! User property (control) setting
True          InclUAdata        ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
!........................................
       -2.2   alpha0            ! 0-lift angle of attack, depends on airfoil.
          9   alpha1            ! Angle of attack at f=0.7, (approximately the stall angle) for AOA>alpha0. (deg)
         -9   alpha2            ! Angle of attack at f=0.7, (approximately the stall angle) for AOA<alpha0. (deg)
          1   eta_e             ! Recovery factor in the range [0.85 - 0.95] used only for UAMOD=1, it is set to 1 in the code when flookup=True. (-)
     7.3326   C_nalpha          ! Slope of the 2D normal force coefficient curve. (1/rad)
          3   T_f0              ! Initial value of the time constant associated with Df in the expression of Df and f''. [default = 3]
          6   T_V0              ! Initial value of the time constant associated with the vortex lift decay process; it is used in the expression of Cvn. It depends on Re,M, and airfoil class. [default = 6]
        1.7   T_p               ! Boundary-layer,leading edge pressure gradient time constant in the expression of Dp. It should be tuned based on airfoil experimental data. [default = 1.7]
         11   T_VL              ! Initial value of the time constant associated with the vortex advection process; it represents the non-dimensional time in semi-chords, needed for a vortex to travel from LE to trailing edge (TE); it is used in the expression of Cvn. It depends on Re, M (weakly), and airfoil. [valid range = 6 - 13, default = 11]
       0.14   b1                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.14]
       0.53   b2                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.53]
          5   b5                ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q.  [from  experimental results, defaults to 5]
        0.3   A1                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.3]
        0.7   A2                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.7]
          1   A5                ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q. [from experimental results, defaults to 1]
          0   S1                ! Constant in the f curve best-fit for alpha0<=AOA<=alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
          0   S2                ! Constant in the f curve best-fit for         AOA> alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
          0   S3                ! Constant in the f curve best-fit for alpha2<=AOA< alpha0; by definition it depends on the airfoil. [ignored if UAMod<>1]
          0   S4                ! Constant in the f curve best-fit for         AOA< alpha2; by definition it depends on the airfoil. [ignored if UAMod<>1]
      1.449   Cn1               ! Critical value of C0n at leading edge separation. It should be extracted from airfoil data at a given Mach and Reynolds number. It can be calculated from the static value of Cn at either the break in the pitching moment or the loss of chord force at the onset of stall. It is close to the condition of maximum lift of the airfoil at low Mach numbers.
    -0.6138   Cn2               ! As Cn1 for negative AOAs.
       0.19   St_sh             ! Strouhal's shedding frequency constant.  [default = 0.19]
      0.008   Cd0               ! 2D drag coefficient value at 0-lift.
      -0.09   Cm0               ! 2D pitching moment coefficient about 1/4-chord location, at 0-lift, positive if nose up. [If the aerodynamics coefficients table does not include a column for Cm, this needs to be set to 0.0]
          0   k0                ! Constant in the \hat(x)_cp curve best-fit; = (\hat(x)_AC-0.25).  [ignored if UAMod<>1]
          0   k1                ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
          0   k2                ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
          0   k3                ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
          0   k1_hat            ! Constant in the expression of Cc due to leading edge vortex effects.  [ignored if UAMod<>1]
        0.2   x_cp_bar          ! Constant in the expression of \hat(x)_cp^v. [ignored if UAMod<>1, default = 0.2]
"DEFAULT"     UACutout          ! Angle of attack above which unsteady aerodynamics are disabled (deg). [Specifying the string "Default" sets UACutout to 45 degrees]
"DEFAULT"     filtCutOff        ! Reduced frequency cut-off for low-pass filtering the AoA input to UA, as well as the 1st and 2nd derivatives (-) [default = 0.5]
!........................................
! Table of aerodynamics coefficients
        143   NumAlf            ! Number of data lines in the following table
!    Alpha      Cl      Cd        Cm
!    (deg)      (-)     (-)       (-)
   -180.00    0.000   0.0267   0.0000
   -175.00    0.274   0.0370   0.1379
   -170.00    0.547   0.0968   0.2778
   -160.00    0.685   0.2876   0.2740
