! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! DU21 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
! Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
"DEFAULT"     InterpOrd         ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
          1   NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
        400   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! DU 93-W-210.lm
! x/c     y/c
1.00000  0.00194
0.99660  0.00304
0.99314  0.00411
0.98961  0.00516
0.98601  0.00618
0.98235  0.00720
0.97863  0.00823
0.97484  0.00927
0.97098  0.01033
0.96706  0.01139
0.96307  0.01246
0.95902  0.01354
0.95490  0.01463
0.95072  0.01573
0.94647  0.01684
0.94216  0.01797
0.93778  0.01911
0.93333  0.02026
0.92882  0.02142
0.92425  0.02260
0.91961  0.02379
0.91490  0.02499
0.91013  0.02621
0.90529  0.02744
0.90039  0.02869
0.89542  0.02995
0.89039  0.03122
0.88529  0.03250
0.88013  0.03379
0.87490  0.03510
0.86961  0.03643
0.86425  0.03776
0.85882  0.03912
0.85333  0.04048
0.84778  0.04186
0.84216  0.04326
0.83647  0.04466
0.83072  0.04608
0.82490  0.04752
0.81902  0.04896
0.81307  0.05041
0.80706  0.05188
0.80098  0.05336
0.79484  0.05484
0.78863  0.05634
0.78235  0.05784
