! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! DU25 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
! Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
"DEFAULT"     InterpOrd         ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
          1   NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
        400   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! DU 91-W2-250.lm
! x/c      y/c
0.15526  -0.10511
0.16052  -0.10642
0.16587  -0.10769
0.17131  -0.10892
0.17684  -0.11011
0.18245  -0.11126
0.18816  -0.11236
0.19395  -0.11341
0.19982  -0.11441
0.20579  -0.11536
0.21184  -0.11626
0.21798  -0.11710
0.22421  -0.11789
0.23053  -0.11862
0.23693  -0.11929
0.24342  -0.11990
0.25000  -0.12045
0.25667  -0.12094
0.26333  -0.12135
0.27000  -0.12168
0.27667  -0.12195
0.28333  -0.12214
0.29000  -0.12227
0.29667  -0.12232
0.30333  -0.12231
0.31000  -0.12222
0.31667  -0.12207
0.32333  -0.12186
0.33000  -0.12157
0.33667  -0.12123
0.34333  -0.12082
0.35000  -0.12034
0.35667  -0.11981
0.36333  -0.11922
0.37000  -0.11857
0.37667  -0.11785
0.38333  -0.11708
0.39000  -0.11625
0.39667  -0.11537
0.40333  -0.11442
0.41000  -0.11342
0.41667  -0.11236
0.42333  -0.11124
0.43000  -0.11006
0.43667  -0.10881
0.44333  -0.10752
0.45000  -0.10615
0.45667  -0.10474
0.46333  -0.10326
0.47000  -0.10173
0.47667  -0.10015
0.48333  -0.09851
0.49000  -0.09682
0.49667  -0.09508
0.50333  -0.09329
0.51000  -0.09145
0.51667  -0.08956
0.52333  -0.08764
0.53000  -0.08567
0.53667  -0.08366
0.54333  -0.08162
0.55000  -0.07953
0.55667  -0.07742
0.56333  -0.07527
0.57000  -0.07309
0.57667  -0.07088
0.58333  -0.06865
0.59000  -0.06639
0.59667  -0.06410
0.60333  -0.06180
0.61000  -0.05948
0.61667  -0.05713
0.62333  -0.05478
0.63000  -0.05242
0.63667  -0.05005
0.64333  -0.04767
0.65000  -0.04530
0.65667  -0.04293
0.66333  -0.04057
0.67000  -0.03822
0.67667  -0.03588
0.68333  -0.03357
0.69000  -0.03127
0.69667  -0.02900
0.70333  -0.02676
0.71000  -0.02456
0.71667  -0.02238
0.72333  -0.02026
0.73000  -0.01817
0.73667  -0.01614
0.74333  -0.01416
0.75000  -0.01223
0.75660  -0.01038
0.76314  -0.00861
0.76961  -0.00692
0.77601  -0.00532
0.78235  -0.00381
0.78863  -0.00238
0.79484  -0.00103
0.80098   0.00023
0.80706   0.00141
0.81307   0.00250
0.81902   0.00351
0.82490   0.00444
0.83072   0.00529
0.83647   0.00606
0.84216   0.00675
0.84778   0.00737
0.85333   0.00791
0.85882   0.00839
0.86425   0.00879
0.86961   0.00913
0.87490   0.00940
0.88013   0.00961
0.88529   0.00975
0.89039   0.00983
0.89542   0.00985
0.90039   0.00982
0.90529   0.00972
0.91013   0.00957
0.91490   0.00936
0.91961   0.00910
0.92425   0.00880
0.92882   0.00844
0.93333   0.00804
0.93778   0.00760
0.94216   0.00712
0.94647   0.00660
0.95072   0.00606
0.95490   0.00549
0.95902   0.00490
0.96307  0.00429
0.96706  0.00367
0.97098  0.00303
0.97484  0.00238
0.97863  0.00173
0.98235  0.00108
0.98601  0.00043
0.98961  -0.00022
0.99314  -0.00086
0.99660  -0.00149
1.00000  -0.00213
"03_FileNotFound"   BL_File         - The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
          1   NumTabs           ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table 1
! ------------------------------------------------------------------------------
       0.75   Re                ! Reynolds number in millions
          0   UserProp          ! User property (control) setting
True          InclUAdata        ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
!........................................
       -3.2   alpha0            ! 0-lift angle of attack, depends on airfoil.
        8.5   alpha1            ! Angle of attack at f=0.7, (approximately the stall angle) for AOA>alpha0. (deg)
       -8.5   alpha2            ! Angle of attack at f=0.7, (approximately the stall angle) for AOA<alpha0. (deg)
          1   eta_e             ! Recovery factor in the range [0.85 - 0.95] used only for UAMOD=1, it is set to 1 in the code when flookup=True. (-)
     6.4462   C_nalpha          ! Slope of the 2D normal force coefficient curve. (1/rad)
          3   T_f0              ! Initial value of the time constant associated with Df in the expression of Df and f''. [default = 3]
          6   T_V0              ! Initial value of the time constant associated with the vortex lift decay process; it is used in the expression of Cvn. It depends on Re,M, and airfoil class. [default = 6]
        1.7   T_p               ! Boundary-layer,leading edge pressure gradient time constant in the expression of Dp. It should be tuned based on airfoil experimental data. [default = 1.7]
         11   T_VL              ! Initial value of the time constant associated with the vortex advection process; it represents the non-dimensional time in semi-chords, needed for a vortex to travel from LE to trailing edge (TE); it is used in the expression of Cvn. It depends on Re, M (weakly), and airfoil. [valid range = 6 - 13, default = 11]
       0.14   b1                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.14]
       0.53   b2                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.53]
          5   b5                ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q.  [from  experimental results, defaults to 5]
        0.3   A1                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.3]
        0.7   A2                ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.7]
          1   A5                ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q. [from experimental results, defaults to 1]
          0   S1                ! Constant in the f curve best-fit for alpha0<=AOA<=alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
          0   S2                ! Constant in the f curve best-fit for         AOA> alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
